leave_out_index,enu_east_m,enu_north_m,enu_up_m,lat,lon,alt_m
0,-32.10412906513598,-5.2564676709832385,-1.8753020409433803,43.0705896577365,-89.40725119120803,323.30398079697545
1,-33.71190426514074,-5.611782326882368,-7.402334109469226,43.07058645946417,-89.40727093054976,317.77695731336007
2,-44.41015575848882,28.589230963203846,-14.862205183735096,43.07089430005872,-89.40740227877811,310.3172133789512
3,-59.72140192571934,-26.098185199820712,2.5709874708096017,43.070402061595495,-89.40759025171612,327.7505201195103
4,-100.02146017963567,-34.70534729923288,7.5707495536000335,43.07032458527501,-89.40808501991924,332.7508271600026
5,-11.15232636708435,-0.8040643968443328,-6.269513350000801,43.07062973405385,-89.40699396156113,318.90969643540325
