leave_out_index,enu_east_m,enu_north_m,enu_up_m,lat,lon,alt_m
0,-30.53193550177093,11.69031561456548,-5.399857494915013,42.3525022412107,-71.04925156817121,22.600226208283512
1,-3.721016008924434,-8.436300994205084,1.132977730493074,42.3523210524535,-71.04892616204768,29.132984404972575
2,-17.039638714912467,2.741131530963108,-0.6451474622364912,42.35242167677162,-71.0490878108323,27.35487585482395
3,-12.764057753807277,-4.28962581088688,-25.336714042213515,42.35235838251176,-71.04903591836458,2.6633001559973857
4,-210.06545532365246,140.66402239058846,-0.7071449434247147,42.353663295361756,-71.05143062372636,27.29786350471204
5,-12.145730002922187,1.6265419483565953,-19.62723909063166,42.35241164284626,-71.04902841366513,8.372772663043465
